year,month,region,total_sales_usd,orders_count,unique_customers
2026,1,Europe,15230.50,124,45
2026,1,USA,18999.99,110,38
2026,1,Asia,22145.75,135,52
2026,2,Europe,18750.20,130,48
2026,2,USA,20500.00,125,42
2026,2,Asia,19875.30,140,55
2026,3,Europe,22340.80,145,50
2026,3,USA,26780.50,150,48
2026,3,Asia,25120.60,160,60
2026,4,Europe,19870.00,135,47
2026,4,USA,21340.25,130,44
2026,4,Asia,23560.90,155,58
2026,5,Europe,24560.75,160,55
2026,5,USA,28900.00,170,52
2026,5,Asia,27890.40,175,65
2026,6,Europe,26780.30,175,60
2026,6,USA,31250.50,190,58
2026,6,Asia,30120.80,185,70
2026,7,Europe,29030.00,190,65
2026,7,USA,33500.20,210,62
2026,7,Asia,32100.50,200,72
2026,8,Europe,27890.60,185,62
2026,8,USA,32100.75,205,60
2026,8,Asia,30890.30,195,68
2026,9,Europe,31240.40,200,70
2026,9,USA,35800.90,220,68
2026,9,Asia,33500.80,210,75
