shipment_id,order_id,shipment_date,carrier,tracking_number,origin,destination,estimated_delivery,actual_delivery,delay_days,shipping_cost_usd,weight_kg
SHP1001,101,2026-01-16,DHL,EU123456789,Paris,France,Berlin,Germany,2026-01-20,2026-01-19,0,45.50,2.5
SHP1002,102,2026-01-21,UPS,1Z999AA10123456784,New York,USA,Los Angeles,USA,2026-01-25,2026-01-27,2,78.20,5.0
SHP1003,103,2026-02-11,Yamato,JP1234567890,Tokyo,Japan,Osaka,Japan,2026-02-15,2026-02-14,0,32.00,1.8
SHP1004,104,2026-02-19,SF Express,CN9876543210,Shanghai,China,Beijing,China,2026-02-23,2026-02-24,1,28.90,3.2
SHP1005,105,2026-03-06,DTDC,IN4561237890,Mumbai,India,Delhi,India,2026-03-10,2026-03-09,0,15.75,0.9
SHP1006,106,2026-03-13,CJ Logistics,KR3216549870,Seoul,South Korea,Busan,South Korea,2026-03-17,2026-03-16,0,22.30,1.2
SHP1007,107,2026-03-29,Viettel Post,VN7418529630,Ho Chi Minh City,Vietnam,Hanoi,Vietnam,2026-04-02,2026-04-05,3,19.99,2.0
SHP1008,108,2026-04-05,Pos Malaysia,MY8529637410,Kuala Lumpur,Malaysia,Penang,Malaysia,2026-04-09,2026-04-08,0,12.50,0.7
SHP1009,109,2026-04-20,Royal Mail,GB123456789,London,UK,Manchester,UK,2026-04-24,2026-04-25,1,35.00,1.5
SHP1010,110,2026-05-02,Correos,ES987654321,Madrid,Spain,Barcelona,Spain,2026-05-06,2026-05-05,0,41.25,2.2
SHP1011,111,2026-05-15,Poste Italiane,IT456123789,Rome,Italy,Milan,Italy,2026-05-19,2026-05-18,0,38.60,1.9
SHP1012,112,2026-05-28,FedEx,789456123012,Chicago,USA,Houston,USA,2026-06-01,2026-06-06,5,89.99,7.3
SHP1013,113,2026-06-10,USPS,9400112345678901234567,San Francisco,USA,Seattle,USA,2026-06-14,2026-06-21,7,67.45,4.8
SHP1014,114,2026-06-19,Australia Post,AU123456789,Sydney,Australia,Melbourne,Australia,2026-06-23,2026-06-22,0,55.00,3.0
SHP1015,115,2026-07-03,Correios,BR987654321,Sao Paulo,Brazil,Rio de Janeiro,Brazil,2026-07-07,2026-07-06,0,48.90,2.7
SHP1016,116,2026-07-16,Estafeta,MX456123789,Mexico City,Mexico,Guadalajara,Mexico,2026-07-20,2026-07-22,2,30.30,1.3
SHP1017,117,2026-07-28,Canada Post,CA789123456,Toronto,Canada,Vancouver,Canada,2026-08-01,2026-07-31,0,72.10,4.0
SHP1018,118,2026-08-11,Egypt Post,EG321654987,Cairo,Egypt,Alexandria,Egypt,2026-08-15,null,null,25.00,1.0
SHP1019,119,2026-08-23,PTT,TR456789123,Istanbul,Turkey,Ankara,Turkey,2026-08-27,2026-08-28,1,27.80,1.4
SHP1020,120,2026-09-02,Russian Post,RU123456789,Moscow,Russia,Saint Petersburg,Russia,2026-09-06,2026-09-10,4,62.00,5.5
